,municipality,town_number,preliminary_live_birth_counts,preliminary_birth_rate,estimated_population,estimated_median_home_value,labor_force,unemployed,unemployment_rate,median_household_income,tfa_participants,snap_recipients,poverty_status,associate's_degree,bachelor's_degree_or_higher,high_school_diploma_ged_or_equivalent,less_than_high_school_diploma,some_college,percent_without_health_insurance,tfa_participants_rate,snap_recipients_rate,poverty_rate,est_population_above_25,higher_edu_perc,label,socioeconomic_status
117,Ridgefield,118,152,6.1,25008,655900,11862,375,0.0316135558927668,158518,10.0,151,464,807,12629,1328,355,1755,6.0,0.000399872040946897,0.006038067818298145,0.018554062699936022,16874,0.7484295365651298,2,High
118,Rocky Hill,119,197,9.8,20145,263000,11668,358,0.030682207747686,83100,31.0,674,887,1318,7656,3285,959,2153,3.2,0.001538843385455448,0.033457433606353934,0.04403077686770911,15371,0.49808080150933576,0,Middle
119,Roxbury,120,10,4.6,2160,629300,1354,41,0.0302806499261448,137656,1.0,18,73,83,990,253,26,224,1.3,0.000462962962962963,0.008333333333333333,0.033796296296296297,1576,0.6281725888324873,2,High
120,Salem,121,40,9.7,4123,274300,2144,79,0.0368470149253731,113000,10.0,43,111,280,1377,722,135,487,6.0,0.002425418384671356,0.01042929905408683,0.02692214406985205,3001,0.45884705098300566,0,Middle
121,Salisbury,122,21,5.8,3598,472800,1849,55,0.0297458085451595,83698,14.0,31,178,276,1729,382,114,348,4.3,0.0038910505836575876,0.008615897720956087,0.049471928849360754,2849,0.6068796068796068,0,Middle
122,Scotland,123,5,3.0,1685,234700,967,39,0.0403309203722854,89000,3.5,36,58,102,330,407,89,270,3.2,0.0020771513353115725,0.021364985163204748,0.034421364985163204,1198,0.27545909849749584,0,Middle
123,Seymour,124,150,9.1,16509,246600,9001,385,0.0427730252194201,70941,55.0,509,682,849,3239,4079,642,2474,3.0,0.003331516142710037,0.030831667575261977,0.04131080016960446,11283,0.2870690419214748,1,Low
124,Sharon,125,9,3.3,2703,389600,1517,43,0.028345418589321,78403,6.5,38,348,261,989,637,121,288,3.9,0.0024047354790972995,0.014058453570107288,0.12874583795782463,2296,0.4307491289198606,0,Middle
125,Shelton,126,317,7.7,41097,345200,22194,919,0.0414075876362981,94446,75.0,902,1791,2506,12109,8239,1932,5288,3.2,0.0018249507263303892,0.021948074068666813,0.04357982334476969,30074,0.4026401542860943,0,Middle
126,Sherman,127,19,5.3,3614,457100,1867,57,0.0305302624531334,113506,2.5,0,29,262,1330,584,33,391,4.1,0.000691754288876591,0.0,0.008024349750968456,2600,0.5115384615384615,0,Middle
127,Simsbury,128,230,9.2,24979,329500,13745,389,0.0283012004365224,119588,21.0,267,1001,999,11384,2121,598,2144,2.2,0.0008407061932022899,0.0106889787421434,0.04007366187597582,17246,0.6600950945146701,0,Middle
128,Somers,129,64,5.9,10834,317100,5174,182,0.0351758793969849,105164,14.0,114,205,731,2941,2539,811,1412,2.8,0.0012922281705741185,0.01052242938896068,0.01892191249769245,8434,0.34870761204647854,0,Middle
129,South Windsor,132,247,9.5,26054,282200,14352,491,0.034211259754738,107088,30.5,489,1241,1680,8656,4045,606,2981,1.7,0.0011706455822522454,0.01876871113840485,0.04763184155983726,17968,0.4817453250222618,0,Middle
130,Southbury,130,97,4.9,19656,326400,8709,344,0.0394993684693995,94176,10.0,279,1197,1328,7562,3023,884,1821,2.1,0.0005087505087505087,0.014194139194139194,0.060897435897435896,14618,0.5173074291968806,0,Middle
131,Southington,131,383,8.7,43807,275700,24788,878,0.0354203646925932,92220,127.5,1074,1699,3072,12152,8854,1991,5495,2.5,0.0029104937567055495,0.024516629762366744,0.038783756020727284,31564,0.3849955645672285,0,Middle
132,Sprague,133,26,9.0,2889,219400,1621,72,0.0444170265268353,65688,22.5,189,360,193,417,910,152,431,2.3,0.00778816199376947,0.06542056074766354,0.12461059190031153,2103,0.19828815977175462,1,Low
133,Stafford,134,97,8.2,11884,197000,6953,290,0.0417086149863368,72806,50.0,420,786,966,1863,2927,674,1684,5.3,0.004207337596768765,0.035341635812857625,0.06613934702120498,8114,0.22960315504067044,1,Low
134,Stamford,135,1698,13.1,129775,526700,70883,2609,0.0368071328809447,89309,654.5,4390,11884,4773,45390,18575,9894,12677,10.7,0.005043344249662878,0.03382777884800616,0.0915738778655365,91309,0.49710324283476987,1,Low
