,municipality,town_number,preliminary_live_birth_counts,preliminary_birth_rate,estimated_population,estimated_median_home_value,labor_force,unemployed,unemployment_rate,median_household_income,tfa_participants,snap_recipients,poverty_status,associate's_degree,bachelor's_degree_or_higher,high_school_diploma_ged_or_equivalent,less_than_high_school_diploma,some_college,percent_without_health_insurance,tfa_participants_rate,snap_recipients_rate,poverty_rate,est_population_above_25,higher_edu_perc,label,socioeconomic_status
18,Brooklyn,19,84,10.1,8280,227800,4119,166,0.0403010439427045,72090,47.5,414,610,763,1496,1887,522,1529,2.7,0.005736714975845411,0.05,0.07367149758454106,6197,0.24140713248345974,1,Low
19,Burlington,20,66,6.8,9665,333200,5696,182,0.0319522471910112,126341,13.5,50,205,480,3270,1484,165,1220,1.2,0.001396792550439731,0.005173305742369374,0.021210553543714435,6619,0.4940323311678501,0,Middle
20,Canaan,21,7,6.6,1055,319800,651,19,0.0291858678955453,77847,4.5,29,63,124,405,215,29,181,6.6,0.0042654028436018955,0.027488151658767772,0.05971563981042654,954,0.42452830188679247,0,Middle
21,Canterbury,22,44,8.6,5100,221000,2912,115,0.0394917582417582,92835,14.0,204,166,507,787,1262,330,756,4.4,0.0027450980392156863,0.04,0.032549019607843135,3642,0.21609006040637013,0,Middle
22,Canton,23,78,7.6,10270,311800,5750,182,0.0316521739130435,89255,12.5,164,355,633,4225,1176,175,1382,2.8,0.0012171372930866603,0.01596884128529698,0.03456669912366115,7591,0.5565801607166381,0,Middle
23,Chaplin,24,23,10.2,2256,202000,1259,58,0.0460683081810961,68889,10.0,45,123,118,514,754,161,307,2.9,0.004432624113475178,0.0199468085106383,0.05452127659574468,1854,0.2772384034519957,1,Low
24,Cheshire,25,209,7.2,29179,332600,15766,469,0.0297475580362806,112945,33.0,442,560,1658,11311,3977,1151,2891,1.8,0.0011309503409986635,0.01514788032489119,0.019191884574522772,20988,0.538927005908138,0,Middle
25,Chester,26,19,4.5,4229,346800,2354,69,0.0293118096856415,92417,2.5,42,174,239,1332,834,126,679,1.8,0.0005911563017261764,0.009931425868999763,0.04114447860014188,3210,0.41495327102803736,0,Middle
26,Clinton,27,92,7.1,12950,287700,7286,247,0.0339006313477903,76360,24.5,357,993,951,3733,2413,619,1948,6.1,0.0018918918918918919,0.027567567567567567,0.07667953667953668,9664,0.3862789735099338,0,Middle
27,Colchester,28,133,8.3,15936,253300,9486,320,0.0337339236769977,103380,49.0,361,1080,1015,4403,2776,498,2309,0.9,0.0030747991967871487,0.022653112449799197,0.0677710843373494,11001,0.4002363421507136,0,Middle
28,Colebrook,29,7,5.0,1405,242700,832,40,0.0480769230769231,91786,6.5,14,63,132,313,335,51,256,2.0,0.004626334519572953,0.0099644128113879,0.044839857651245554,1087,0.28794848206071755,0,Middle
29,Columbia,30,32,5.9,5385,258400,3263,112,0.0343242414955562,106604,11.5,73,124,446,1806,1031,101,571,2.5,0.0021355617455896007,0.013556174558960075,0.023026926648096566,3955,0.45663716814159294,0,Middle
30,Cornwall,31,9,6.6,1368,425400,780,22,0.0282051282051282,82083,7.5,36,91,97,508,169,45,169,3.5,0.005482456140350877,0.02631578947368421,0.06652046783625731,988,0.5141700404858299,0,Middle
31,Coventry,32,105,8.5,12414,241600,7881,266,0.033752061921076,91461,40.0,147,454,822,3695,2333,213,1628,2.3,0.003222168519413565,0.011841469308844853,0.036571612695343966,8691,0.42515245656426187,0,Middle
32,Cromwell,33,109,7.8,13905,245600,8011,284,0.0354512545250281,91841,14.5,305,605,885,4864,2236,618,1724,2.8,0.0010427903631787126,0.02193455591513844,0.04350952894642215,10327,0.4709983538297666,0,Middle
33,Danbury,34,974,11.5,84730,296600,47230,1609,0.0340673300868092,71672,250.0,2838,9512,3539,18597,16595,9877,9033,16.6,0.0029505488020771862,0.03349463000118022,0.11226248082143278,57641,0.3226349299977447,1,Low
34,Darien,35,177,8.1,21753,1461100,8679,296,0.0341053116718516,210511,10.5,75,669,367,10675,873,345,872,1.0,0.0004826920424768997,0.0034478003034064267,0.030754378706385328,13132,0.8128997867803838,2,High
35,Deep River,36,28,6.3,4463,271200,2880,94,0.0326388888888889,71641,6.0,71,211,324,1318,985,118,471,8.2,0.0013443871835088505,0.0159085816715214,0.04727761595339458,3216,0.4098258706467662,0,Middle
36,Derby,37,140,11.2,12515,201500,6752,350,0.0518364928909953,56301,99.5,793,1624,1016,1963,2918,1366,1810,7.2,0.007950459448661606,0.06336396324410708,0.12976428286056732,9073,0.216356221756861,1,Low
37,Durham,38,56,7.8,7195,331300,4314,130,0.0301344459898007,117631,6.5,70,325,430,2560,1307,118,790,2.5,0.0009034051424600417,0.009728978457261988,0.045170257123002086,5205,0.4918347742555235,0,Middle
38,East Granby,40,55,10.7,5147,278500,3107,106,0.0341165111039588,100689,3.0,111,197,357,2089,754,101,490,3.9,0.0005828638041577618,0.021565960753837186,0.038274723139693025,3791,0.5510419414402532,0,Middle
39,East Haddam,41,83,9.2,8988,278700,5042,178,0.0353034510115034,91339,14.5,215,294,834,2283,1946,515,1266,4.0,0.0016132621272808188,0.02392078326657766,0.03271028037383177,6844,0.33357685563997663,0,Middle
40,East Hampton,42,97,7.5,12854,268100,7787,261,0.0335174007961988,100780,40.0,288,720,1036,3705,2436,486,1771,1.8,0.0031118717908822156,0.022405476894351954,0.05601369223587988,9434,0.39272842908628364,0,Middle
41,East Hartford,43,624,12.5,49998,162000,27400,1438,0.0524817518248175,55468,690.0,4076,7010,3264,6586,11798,5842,6638,6.5,0.013800552022080883,0.08152326093043721,0.14020560822432898,34128,0.19297937177684013,1,Low
42,East Haven,44,267,9.3,28699,212900,15813,699,0.044204135837602,65333,193.0,969,2672,1879,4887,8478,1858,3707,5.5,0.006724972995574759,0.03376424265653855,0.0931042893480609,20809,0.2348503051564227,1,Low
43,East Lyme,45,119,6.4,18645,313900,8700,336,0.0386206896551724,93416,25.5,376,1100,1200,6482,3314,847,2435,2.2,0.0013676588897827836,0.020166264414052025,0.058997050147492625,14278,0.45398515198207035,0,Middle
44,East Windsor,47,102,9.0,11375,214600,6603,288,0.0436165379373012,74974,51.5,427,779,1076,3033,2491,475,1541,5.6,0.004527472527472528,0.03753846153846154,0.06848351648351649,8616,0.35201949860724235,1,Low
45,Eastford,39,17,9.5,1790,254100,973,38,0.039054470709147,86667,0.5,43,49,155,442,389,60,278,6.3,0.00027932960893854746,0.024022346368715083,0.027374301675977653,1324,0.3338368580060423,0,Middle
46,Easton,46,49,6.5,7517,641900,3860,130,0.0336787564766839,142841,1.5,50,241,274,3389,777,225,799,2.5,0.00019954769189836372,0.006651589729945457,0.032060662498337104,5464,0.6202415812591509,2,High
47,Ellington,48,147,9.0,16299,266600,9514,338,0.0355265923901619,85572,37.0,385,573,757,5093,3149,486,1782,1.4,0.0022700779188907297,0.02362108104791705,0.035155531014172646,11267,0.4520280465074998,0,Middle
48,Enfield,49,366,8.2,44466,185700,23412,926,0.0395523663078763,76423,244.0,1635,3442,2960,8578,11223,2729,6425,3.3,0.005487338640759232,0.036769666711644854,0.07740745738316916,31915,0.2687764374118753,1,Low
49,Essex,50,36,5.4,6674,371300,3372,107,0.0317319098457889,87000,6.0,127,371,350,2799,981,218,789,2.9,0.0008990110878034162,0.019029068025172312,0.055588852262511236,5137,0.5448705470118747,0,Middle
50,Fairfield,51,481,7.8,61952,603100,29468,1068,0.0362427039500475,134559,37.0,523,2856,2172,25321,5545,1832,4255,3.8,0.0005972365702479338,0.008442019628099174,0.04610020661157025,39125,0.6471821086261981,2,High
51,Farmington,52,201,7.9,25506,330400,14312,453,0.0316517607602012,94606,37.5,511,1777,1283,10901,2930,832,2654,2.4,0.0014702422959303693,0.020034501685877833,0.0696698815964871,18600,0.5860752688172043,0,Middle
52,Franklin,53,14,7.2,1933,246100,1076,37,0.0343866171003717,94000,7.5,53,90,131,359,471,68,312,1.5,0.0038799793067770304,0.027418520434557683,0.04655975168132437,1341,0.2677106636838181,0,Middle
53,Glastonbury,54,270,7.8,34491,348600,19124,539,0.0281844802342606,116625,58.5,550,1324,1661,14972,3895,748,3317,2.6,0.0016960946333826215,0.015946188860862253,0.03838682554869386,24593,0.6087911194242264,0,Middle
54,Goshen,55,17,5.9,2879,346500,1661,49,0.0295003010234798,98967,5.0,10,205,267,859,470,86,441,2.4,0.0017367141368530739,0.0034734282737061478,0.07120527961097603,2123,0.40461610927932173,0,Middle
55,Granby,56,86,7.6,11375,296600,6880,199,0.0289244186046512,121114,4.5,111,365,752,4335,1341,226,1245,0.9,0.0003956043956043956,0.009758241758241758,0.03208791208791209,7899,0.5488036460311432,0,Middle
56,Greenwich,57,501,8.0,62727,1278000,28879,890,0.0308182416288653,142819,80.5,731,3952,2067,27840,6209,1986,4552,5.0,0.001283338913067738,0.011653673856553,0.0630031724775615,42654,0.6526937684625123,2,High
